	1	2	3	4	5	6	7	8	9	10	11	12
cell156	0.0	0.028132588	0.55999863	0.04668078	0.0	0.06602448	0.016365062	0.0	0.18946446	0.040742956	0.054244798	0.0
cell157	0.06820427	0.062417693	0.5088551	0.064998806	0.049698774	0.037524924	0.022115655	0.0	0.05097542	0.07006577	0.03621012	0.018720053
cell158	0.033542614	0.102623686	0.46961313	0.04729967	0.0064127636	0.07062307	0.008795046	0.051748473	0.065784216	0.059742734	0.011385808	0.057695426
cell159	0.0	0.06777849	0.599402	0.072951816	0.051636163	0.0	0.036454577	0.03765301	0.06919937	0.03621341	0.0	0.029879048
cell160	0.046199843	0.08691372	0.5031183	0.053983033	0.062095895	0.11305866	0.077946685	0.0	0.0	0.005952234	0.014026264	0.027621534
cell161	0.013217217	0.08513567	0.50775135	0.058803156	0.0	0.040776633	0.010434535	0.017365884	0.11116312	0.061889585	0.045512933	0.050290607
cell162	0.0553985	0.0490392	0.7242254	0.043069564	0.020926338	0.040723145	0.009529748	0.007825396	0.037386402	0.0	0.010704122	0.0
cell163	0.011093548	0.117616825	0.43091926	0.082532585	0.042178508	0.122612596	0.01924692	0.011153937	0.07336362	0.03645396	0.02203754	0.0
cell164	0.061835937	0.0630002	0.4851998	0.0398777	0.09934866	0.052854918	0.0	0.033743765	0.003923185	0.027450288	0.025516836	0.07891781
cell165	0.04063487	0.0	0.4627702	0.0704018	0.116086915	0.097463146	0.041142628	0.0	0.00080473366	0.09002198	0.07220387	0.028844552
cell166	0.048239972	0.009745284	0.5789088	0.07477441	0.02075146	0.0	0.0	0.06579461	0.03057495	0.0	0.053813696	0.1042861
cell167	0.040026397	0.08358003	0.50291556	0.0321451	0.06343313	0.073787354	0.075828046	0.03897556	0.030250406	0.018069962	0.00821938	0.017231226
cell168	0.0	0.0806457	0.5289	0.075697765	0.0	0.0	0.0	0.0	0.22647059	0.070611864	0.05614999	0.0
cell169	0.04906497	0.070637934	0.42301312	0.09065785	0.034376334	0.119158834	0.10318693	0.046966754	0.0	0.0	0.038335107	0.027409632
cell170	0.059019975	0.019558312	0.52802515	0.01603702	0.029451804	0.07827726	0.0	0.026166594	0.042338185	0.07735538	0.030032793	0.092110835
cell171	0.064235546	0.0713584	0.45857307	0.05142891	0.009939572	0.052711815	0.006887156	0.047919586	0.030373467	0.019182676	0.13926399	0.04666571
cell172	0.04830254	0.07387328	0.5688569	0.070847824	0.068759486	0.048158165	0.06130301	0.0020458123	0.011788259	0.029965807	0.021564603	0.0040359637
cell173	0.061006304	0.021197358	0.5631903	0.06533233	0.0	0.043069266	0.02684158	0.03419072	0.09728664	0.052680667	0.044314142	0.015584955
cell174	0.051461417	0.043478042	0.53243643	0.061197404	0.015058002	0.094153285	0.048821293	0.021834156	0.014192074	0.03860586	0.02242939	0.046892047
cell175	0.0	0.083034724	0.52467275	0.094164416	0.11113777	0.080948286	0.0	0.008654744	0.0	0.09547226	0.0073571736	0.0
cell176	0.039079092	0.014908836	0.6259436	0.040140085	0.004970379	0.061634596	0.043154057	0.003556829	0.07976296	0.0	0.04058627	0.03650477
cell177	0.044766538	0.14783655	0.40939265	0.06997202	0.008870235	0.072114386	0.07554423	0.023639431	0.10607038	0.0	0.023268782	0.0
cell178	0.05858944	0.1086549	0.4695909	0.04499627	0.051662143	0.10821662	0.05981797	0.0371941	0.036557026	0.012747418	0.0	0.0
cell179	0.033993214	0.04507076	0.57265645	0.07501917	0.0146344965	0.04418059	0.032618027	0.008471963	0.055359386	0.06114457	0.018669548	0.059524085
cell180	0.0	0.070803836	0.455347	0.0	0.0	0.04369926	0.0	0.0	0.37814608	0.0	0.0	0.03479648
cell181	0.000571359	0.03389338	0.6680845	0.08834633	0.0	0.0	0.0	0.03676128	0.06947772	0.016660485	0.040005345	0.07872986
cell182	0.016175462	0.12995271	0.625336	0.062094152	0.0	0.0	0.03702483	0.07310984	0.0	0.025427943	0.038291324	0.0
cell183	0.08270768	0.046161123	0.54193586	0.087726004	0.017732278	0.020185048	0.044394482	0.004074604	0.06965448	0.03480888	0.026275303	0.02108287
cell184	0.006848474	0.058520757	0.52674836	0.06552883	0.09734004	0.08963484	0.0	0.019478455	0.032443132	0.08150841	0.004245583	0.023040632
cell185	0.0	0.055717204	0.5021164	0.07857464	0.027344113	0.060716484	0.07716428	0.03997139	0.028966308	0.036707148	0.050043795	0.06751708
cell186	0.024099177	0.11461831	0.51663876	0.07786619	0.061940487	0.05397807	0.03824588	0.023926461	0.03432688	0.011626632	0.016942695	0.030868493
cell187	0.0	0.0	0.6449082	0.036308136	0.080431886	0.016315633	0.0	0.0	0.04053827	0.0	0.17370237	0.014389847
cell188	0.037398066	0.06319292	0.54770994	0.056446504	0.025366416	0.025940385	0.056043714	0.018837208	0.07931694	0.016220903	0.037024077	0.004549915
cell189	0.021424247	0.091404885	0.5991767	0.045621846	0.0	0.051263977	0.06249773	0.0	0.035636324	0.07551555	0.03928598	0.0
